2205,-8.133717,39.376780
2300,-8.333265,39.596603
2410,-8.782776,39.715481
2500,-9.088160,39.407571
2490,-8.591744,39.649740
2605,-9.270463,38.793158
2755,-9.445462,38.746365
2630,-9.094211,38.974662
2800,-9.158625,38.679521
2810,-9.158594,38.656698
2870,-8.969660,38.694539
2720,-9.235639,38.743866
2730,-9.280173,38.735262
2740,-9.303572,38.724967
3220,-8.327391,40.104837
3000,-8.423614,40.215069
3025,-8.514669,40.249277
3200,-8.228386,40.131755
3525,-7.903863,40.506476
3405,-7.864148,40.418856
3430,-7.988034,40.449769
3510,-7.994381,40.645089
3600,-7.932891,40.912877
3865,-8.556142,40.724338
3700,-8.461190,40.916515
3880,-8.616469,40.851271
4000,-8.603834,41.151639
4415,-8.538181,41.051419
4540,-8.251710,40.928772
4600,-8.020873,41.271989
4515,-8.442994,41.073697
4570,-8.692417,41.430055
4510,-8.513146,41.144386
4525,-8.450315,41.002484
4780,-8.475179,41.343441
4785,-8.551455,41.320525
4930,-8.606364,41.998305
4730,-8.443532,41.680739
4810,-8.262022,41.424233
4815,-8.311039,41.378300
4970,-8.364579,41.902851
4825,-8.464441,41.288790
5210,-6.318913,41.545742
5155,-7.254536,41.080715
5100,-7.822533,41.080698
5085,-7.563802,41.194200
5445,-7.431445,41.569244
6110,-8.144306,39.683110
6215,-7.617855,40.242881
7040,-7.916433,38.786751
7150,-7.469371,38.816495
6430,-7.252802,40.936619
7470,-7.739465,38.961548
7240,-7.274831,38.318184
7350,-7.228858,38.910455
7520,-8.777486,37.924813
7700,-8.084496,37.474960
7885,-7.302256,38.229918
7900,-8.188868,38.088242
8500,-8.583060,37.191563
8375,-8.314292,37.319149
8000,-7.899132,36.992720
8100,-8.046253,37.248116
8650,-8.883459,37.086315
1900,-9.121032,38.733018
1300,-9.188603,38.709927
1050,-9.149952,38.735998
2610,-9.215418,38.736349
4100,-8.657975,41.168983
4430,-8.573313,41.111242
2745,-9.264753,38.754454
1700,-9.137862,38.764186
2025,-8.798792,39.411266
2130,-8.764027,38.929911
2240,-8.316874,39.721353
2380,-8.691931,39.460592
2420,-8.710217,39.765485
2450,-9.045022,39.594554
2580,-9.039053,39.098144
2785,-9.340355,38.723812
2805,-9.169397,38.671184
2670,-9.170087,38.881840
2725,-9.333934,38.805376
2695,-9.098772,38.817923
2760,-9.273451,38.706726
3045,-8.500887,40.197888
3230,-8.369832,40.010113
3105,-8.735300,39.960433
3080,-8.834440,40.236016
3150,-8.499620,40.098708
3475,-8.227418,40.573240
3350,-8.250402,40.216931
3860,-8.587126,40.782972
3780,-8.442794,40.452626
3810,-8.609795,40.595528
3660,-8.094645,40.816388
3840,-8.689540,40.515446
4200,-8.600081,41.173288
4485,-8.679219,41.305094
4840,-8.216133,41.751861
4880,-7.895078,41.388703
5000,-7.738609,41.311635
4775,-8.562519,41.457475
5030,-7.802289,41.228069
5120,-7.565543,41.094256
